We're seeing the fastest rise in sea-levels in nearly 3,000 years: https://t.co/MwO2QKE4GW #ActOnClimate	Barack Obama
RT @WhiteHouse: Watch @POTUS and @FLOTUS share their favorite Olympic memories—and cheer on #TeamUSA: https://t.co/p2YKF9yZhl https://t.co/…	Barack Obama
See what editorial boards are saying about Senate leaders' refusal to give Judge Garland a fair hearing: https://t.co/FETn702lVz	Barack Obama
President Obama is at the @CopernicusCtr in Chicago speaking about #ImmigrationAction at 5:35 p.m. ET. Tune in: http://t.co/hXSvHoUYEb	Barack Obama
LIVE: President Obama is answering questions from @smartereveryday, @sWooZ1e, and @ingridnilsen. https://t.co/OOb1kkF5r7 #YouTubeAsksObama	Barack Obama
"RT @WhiteHouse: ""All of us need to demand a Congress brave enough to stand up to the gun lobby’s lies."" —@POTUS #StopGunViolence"	Barack Obama
"""In our criminal justice system, the punishment should fit the crime."" —President Obama https://t.co/eKF7oIwbRy"	Barack Obama
TONIGHT: Come in with the clutch contribution before the deadline. https://t.co/kmfpf4CbDf https://t.co/fdDYhGu9ng	Barack Obama
You don't need a stamp to send this holiday card: http://t.co/6A2LrzrfdI http://t.co/HLrlPExFvZ	Barack Obama
Tune in at 1:50 p.m. ET to watch as President Obama holds a news conference. https://t.co/d5vzL2IDQk	Barack Obama
Missed the #ObamaTownHall on immigration reform last night? Watch it here: http://t.co/HBzeHGTwOk	Barack Obama
RT @WhiteHouse: We're generating 20 times more solar electricity than when @POTUS took office → http://t.co/6lAkqSk2Kc #ActOnClimate http:/…	Barack Obama
"""People want to see an agenda that moves us all forward."" Read President Obama's latest message to @OFA: http://t.co/AvnSlvXzD9"	Barack Obama
RT @WhiteHouse: “Our deficits haven’t grown these past seven and a half years; we’ve cut them by almost 75%.” —@POTUS https://t.co/k24EI0FG…	Barack Obama
Celebrate President Obama's birthday by wishing him a happy 54th: http://t.co/pHqzMNujF7 #44Turns54 http://t.co/IqnRnAraM8	Barack Obama
"""And by the way, our teachers are underpaid."" —President Obama"	Barack Obama
Watch: This is why people across the country have decided to #WearOrange today. https://t.co/IUguOJg2Zk	Barack Obama
This is about keeping the internet open and free—sign the petition: http://t.co/JTdQPAvuHU #NetNeutrality	Barack Obama
There's no better time to be thankful for your health––but make sure you're prepared for anything: http://t.co/AqSgOUrPlR #GetCovered	Barack Obama
Tune in at 11:05 a.m. ET to watch President Obama participate in a town hall in Baton Rouge, Louisiana: https://t.co/4oJ9cvg1qy	Barack Obama
Another reason why health care reform is so important to millions of Americans. http://t.co/9A0mRMXsqL	Barack Obama
The Supreme Court isn't some partisan football to be kicked around. Senate leaders should stop treating it like one. https://t.co/akIkPCcxUM	Barack Obama
"""Today, our immigration system is broken, and everybody knows it."" —President Obama #ImmigrationAction"	Barack Obama
97 percent of climate scientists agree—climate change is real and man-made. Stand up for bold action: https://t.co/F0IC4JUfn1 #ActOnClimate	Barack Obama
"""Not only are more people getting health care, businesses are able to start giving raises to their workers."" —President Obama"	Barack Obama
Stand up for a fair hearing and timely up-or-down vote for Judge Merrick Garland: https://t.co/DpeBdTFt8j	Barack Obama
The number of uninsured Americans continues to drop within the first two months of 2015: http://t.co/E2HVFlRx3k	Barack Obama
"""Denying it or refusing to deal with it endangers our national security."" —President Obama on climate change #ActOnClimate"	Barack Obama
The Clean Power Plan is one of the biggest step America's ever taken to tackle climate change. https://t.co/UOvVIhJ7pp	Barack Obama
More American-made exports means more higher-paying jobs at home: https://t.co/FNGnIEzgUx #TPP https://t.co/vIKb91bB02	Barack Obama
Today is your last chance to enroll for health coverage that starts New Year's Day: http://t.co/ub7eg9YXPk	Barack Obama
LIVE: The President answers questions from students and faculty at Ivy Tech Community College in Indianapolis. http://t.co/v84rVrP58Z	Barack Obama
Chuck Berry rolled over everyone who came before him – and turned up everyone who came after. We'll miss you, Chuck. Be good.	Barack Obama
Happy National Park Week. Go #FindYourPark today. https://t.co/B00kPjS35Q https://t.co/uTNnDkSw6O	Barack Obama
"""'A strong spirit transcends rules,' Prince once said—and nobody's spirit was stronger, bolder, or more creative."" —President Obama"	Barack Obama
Despite Judge Garland's qualifications, some Senate leaders still refuse to give him a hearing—speak out: https://t.co/gls53URSMx	Barack Obama
